index|0
, on W|restaurants
Randolph St.|restaurants
This new space, owned by Sophie Huterstein, who also owns L.A.’s The Wellesbourne, is next door to J.P|restaurants
Graziano, purveyor of exceptional Italian sandwiches since long before the Randolph Corridor became the most happening restaurant strip in Chicago.|restaurants
Marks is coordinating entertainment at The Darling, including burlesque acts, and as we chatted, the Alice in Wonderland painting scrolled up to reveal a singer doing his rendition of “My Funny Valentine.”|restaurants
A little bit of daring, and doing what isn’t expected, is a big part of what The Darling is all about|restaurants
Says Huterstein, “The Darling is an elegant hideaway that offers both an intimate dining and cocktail experience on one floor, and a decadent lounge-like social club on the next.”|restaurants
The ground Floor entryway is “hidden” behind a wall of flowers in what appears to be a flower shop|restaurants
 Currently, all the flowers are paper, but Huterstein says that they plan to sell real flowers from this “shop,” though it seems unlikely that they will be sold before the snow flies in Chicago.|restaurants
Chef James Martin, previously of A10, told us that what sets The Darling apart is “The balance of excellent service, food, cocktails and a wide range of entertainment|restaurants
People will see right away how beautifully different The Darling is from anything else in the city.”|restaurants
“We hope,” Huterstein adds, “that guests will get a kick out of the immersive/thematic details and moments of whimsy that serve to compliment delicious food, drink and genuine hospitality.”|restaurants
The first floor is all about the small plates|restaurants
The real standouts for us were the pork belly, a delicious combination of the belly, poached pear, pumpkin puree and crispy sage, as well as the shrimpiest shrimp toast we’ve had, big boys mounted on brioche smeared with garlic confit crema and dressed in saffron and cherry peppers.|restaurants
Upstairs on the second floor, there’s more performance space and bigger plates, like the Seafood Platter with house-smoked trout dip, crab cakes, and smoked mussels|restaurants
Huterstein seems especially excited about the Grilled European Sausages, currywurst and bratwurst, with German mustard, pretzels and gherkins.|restaurants
Some of the cocktails reflect the whimsical tone of The Darling|restaurants
The drink called The Darling Buds of May,” for instance, features egg foam on top of the drink imprinted with an alarmingly precise image of the flowers|restaurants
How did they get the lines on those flowers so sharp, the colors so clear? The answer is that they imprinted the images on an edible disk designed to dissolve into the cocktail|restaurants
Clever.|restaurants
Martin handles food on both floors, and in addition to Marks, entertainment will be managed by DJ/Dr|restaurants
Victor Nwankow|restaurants
When he isn’t working on his residency requirements at Stroger/Rush, Nwankow creates playlists for surgeons in the operating theater and guests at The Darling|restaurants
He also curates other DJs who will be invited in to entertain guests at this trippy, intriguing new place on Randolph.|restaurants
It doesn’t seem that Scotch whisky would be a great pairing with food: the spirit is big, sometimes smoky and seems like it could steamroll all but the most powerful flavors.|restaurants
But you might be surprised how well Scotch can pair with foods|restaurants
We were eager to try pairing Scotch whisky with Scottish-type food|restaurants
It doesn’t seem that Scotch whisky would be a great pairing with food: the spirit is big, sometimes smoky and seems like it could steamroll all but the most powerful flavors.|restaurants
Standing on the shore of the Atlantic Ocean outside the Ardbeg Distillery on the isle of Islay in Scotland, we were served glasses of the peaty whisky and locally harvested oysters, which we thought would surely be an imbalanced pairing|restaurants
But it wasn’t|restaurants
It was a beautiful pairing, proving the adage, “what grows together, goes together.” The whisky seasoned by the local salt spray matched the saltiness of the oyster pulled from local Islay waters, and the smokiness meshed with the oysters’ oceanic tang|restaurants
You like smoked oysters, right? Smoky whisky and oysters yield the same combination of flavors.|restaurants
is the gastropub on the west side of the old McCormick mansion, the urban palace built by the family of the Scots-Irish magnate Cyrus McCormick|restaurants
We tried the pairing of Kumamoto and Blue Point oysters with Oban 10 year old Scotch whisky, distilled oceanside in Scotland and evincing the brininess that works so well with oysters|restaurants
Oban lacks the peaty intensity of Ardbeg, enhancing the oyster flavor without peatiness|restaurants
With slight salinity seasoning both Oban whisky and the oyster, the flavor of the sea creature seemed to come through even more clearly|restaurants
Conclusion: both peaty and un-peated Scotch whisky pairs well with oysters.|restaurants
For a tartare made with salmon harvested in the Faroe Islands (about 200 miles north of Scotland), we switched to a 10-year-old Macallan|restaurants
A Speyside whisky distilled far away from the peat fields of Islay, Macallan has no notes of peat at all, which seemed like the right choice for a fish of this quality|restaurants
The light Dijon sauce and capers matched the relative lightness of the Scotch|restaurants
This was a superbly balanced pairing.|restaurants
Scallops also made a very good pairing with the Macallan, the light and sweet sherry notes of the whisky, aged in sherry barrels, was a very pleasant match for the light, sweet flavor of the scallops.|restaurants
Angus beef originated in Scotland, and for this heartier entrée, we chose the 10-year-old Ardbeg|restaurants
The peaty weight of this whisky matched the robust flavor of the Angus cap, and although the steak worked well with the beefy Scotch, the chimichurri sauce tasted just slightly off when washed down with whisky|restaurants
When we visit again, we’ll get the Angus beef cap with our Ardbeg but take a pass on this tangy green South American sauce, which we’ve had before and liked a lot, but which is not a friendly pairing with Scotch.|restaurants
For dessert, with a little Ardbeg still left in the glass, we ordered the sticky pudding, a U.K|restaurants
favorite: a spongy cake topped with toffee sauce and served with ice cream|restaurants
We greatly enjoyed the combination of smoky dram and sweet cake|restaurants
The sugariness of the pudding pleasingly played off the heaviness of the Scotch.|restaurants
Scotch with dinner is not for everyone|restaurants
If, however, you think you might like a wee drop with your meal, the whisky works much better than you might imagine|restaurants
Sometimes the whisky|restaurants
with what we were eating (as with the oysters at the beginning of the meal)|restaurants
Either way, it was an interesting experiment.|restaurants
One other advantage of having whisky with rich food is that the solvent qualities of the drink cleanse the palate and refresh the taste buds for the next bite|restaurants
You should try it, at least once, and a good place to do so is with a whisky or two and a few plates of Scottish-type food at SideDoor in River North.|restaurants
There was a time when dining out after hours meant your only choices were burgers, greasy slices of pizza or burritos as big as your head|restaurants
But as Chicago’s culinary landscape continues to evolve, it’s extended to the late-night crowd|restaurants
These offerings from trendy and classic establishments are made from scratch, creative and certain to satisfy your cravings.|restaurants
There was a time when dining out after hours meant your only choices were burgers, greasy slices of pizza or burritos as big as your head|restaurants
But as Chicago’s culinary landscape continues to evolve, it’s extended to the late-night crowd|restaurants
These offerings from trendy and classic establishments are made from scratch, creative and certain to satisfy your cravings.|restaurants
It was great to relive our younger years with Saved By The Max – Saved By The Bell Pop Up Shop Diner & Bar, the kitschy Bucktown/Wicker Park sensation that has since moved on to a permanent space in West Hollywood|restaurants
But now it’s time to grow up again—especially those of us who watched the show in its prime—as the owners have created the more sophisticated Dorian’s in its space|restaurants
To get to it, you must enter a record store selling the likes of Bessie Smith, David Bowie and Wes Montgomery on vinyl|restaurants
Dorian’s is an effortless experiment boasting a Michelin starred chef (Brian Fisher of Entente) and incredibly talented music director (Joe Bryl of Funky Buddha Lounge, Sonotheque and Maria’s Packaged Goods & Community Bar fame) kicking out rare groove, experiment jazz, Afrobeat and samba|restaurants
Most dishes from the Asian-focused menu are shareable, including mushroom wontons, chicken bao and the short rib banh mi|restaurants
The beverages are fun too, with large-format cocktails like the $70 Cookie Monster—which is served in a cookie jar-inspired container.|restaurants
You’ll also find a Michelin-starred chef overseeing the menu at this hip-hop inspired ramen joint boasting locations in Logan Square, Wicker Park and Wrigleyville|restaurants
Shin Thompson is behind the project and menu highlights range from the signature Furious ramen with chashu pork belly, spicy miso, white pepper chicken, “fury” sauce and a poached egg to Holy Cow ramen (chili-infused noodles, spicy beef bone soup, fresno chilies and ground beef and string bean stir fry)|restaurants
There are also cocktails on draft.|restaurants
The from-scratch, gastropub-style food from this Grand Rapids-based operation is meant to match the hundreds of craft beer selections|restaurants
Most items are also meant to share|restaurants
Pretzel Nuggz, for example, are flash-fried, salted and served with warm cheese sauce and spicy horsey mustard for dipping|restaurants
Meat Head pizza rolls are filled with pepperoni, cherry smoked bacon, chorizo and mozzarella|restaurants
And the signature Crack Fries—beer battered and sprinkled with HopCat’s signature cracked black pepper seasoning—may be topped with chili, poutine or sloppy Joseph mix.|restaurants
Since 1968, Kingston Mines has not only served as a Chicago blues institution, but as a worldwide phenomenon|restaurants
Musicians and tourists from all over visit this Lincoln Park music venue for entertainment 365 days a year|restaurants
The menu, served late night, offers soul food favorites, including barbecue ribs, fried chicken, red beans and rice, and jalapeno corn bread muffins|restaurants
While many of the dishes are fried, guests have the option of ordering a few such as catfish and shrimp in other styles|restaurants
They may order them grilled or blackened|restaurants
There’s a full bar menu.|restaurants
Updated Mexican fare is on offer at La Josie, a sleek West Loop lounge and eatery serving food late night|restaurants
It’s one of the area’s most popular places to frequent for larger groups because many dishes are share-able|restaurants
Guests should start off with one of the ceviches, which consist of camaron (tiger shrimp), huachinago (red snapper) and Mahi Mahi|restaurants
Tacos are the most popular item to order at La Josie|restaurants
Choose from al pastor (adobo pork), carnitas (baked pork shoulder), grilled Amish chicken or asada (grilled skirt steak)|restaurants
Other shareables include entrees like pollo rostizado of oven-roasted Amish chicken, black beans and Mexican rice or parrillada of grilled skirt steak, chicken breast, house-made chorizo, grilled veggies and rajas poblanos|restaurants
The beverage menu ranges from a mezcal Old Fashioned to craft beers on draft.|restaurants
is the latest Chicago establishment to jump aboard the pop-up restaurant/bar theme|restaurants
For them, it’s the infamous hangout of the “Beverly Hills, 90201” crew, who turned the cheery diner into an after-hours hot spot during a few seasons of the series|restaurants
Ironside’s recreation of Peach Pit After Dark features themed dishes and drinks (“Mrs|restaurants
Teasley’s Mac and Cheese (Order it with lobster because you’re in Beverly Hills, after all!),” “Brandon Walsh Cherry Chocolate Manhattan”), life-sized cutouts of the characters, a deejay spinning music from the 1990s, “90201” episodes playing throughout the space and more|restaurants
It’s open on the lower level of the bar seven nights a week.|restaurants
This season promises something exciting for all, whether you’re in the mood for a laid-back evening of cozy dining or flashy night on the town.|restaurants
|restaurants
The former pays homage to classic steakhouses with roomy, decadent booths and generous steak offerings|restaurants
Yet, Mason dotes between classic and contemporary with original cocktails and beef Wellington served tableside|restaurants
Underneath is Blind Dragon, a slick, Asian-inspired cocktail lounge and karaoke bar|restaurants
Only open for a few weeks, it’s already become a hang for the likes of Chance The Rapper, Drake and a Kardashian or two.|restaurants
|restaurants
Chef Mark Steuer—formerly of Carriage House, El Che Bar and Hot Chocolate—merges his heritage with his new restaurant in West Town|restaurants
He skillfully combines Southern accents with German classics on the menu at Funkenhausen|restaurants
Think ricotta dumplings filled with kielbasa, gooseberries and oyster mushrooms; veal schnitzel with baby squash; and charred broccolini in buttermilk dressing|restaurants
It gets even better as the soundtrack consists of classic and contemporary funk during service.|restaurants
The Streeterville outpost marks the third in the Chicago area, plus there are others across the country|restaurants
In addition to its nautical theme, Hampton Social serves as a popular stop for after-work revelers|restaurants
Its cheery atmosphere makes it a popular destination for larger groups for after-work festivities as well as brunch|restaurants
Dishes that are shareable are most appealing, particularly brick-oven pizzas, jar of king crab, and “naked” shrimp consisting of pan-seared jumbo shrimp, coconut cream sauce, peanuts and peanut sauce.|restaurants
As I understand, up till now, Erchen has been the creative soul of the kitchen, but for Borough, she is sharing the role of developing the new menu with Anaïs van Manen, who works as a development chef for the Bao trio of owners.|restaurants
I tried three from the new line-up, my favourite ironically being the fried donut (reminiscent of fried mantou) with the lightly cooked, fleshy shrimp|restaurants
Of the pair of steamed buns, I enjoyed the one with fried cheese and tapioca pearls with curry and fermented chilli|restaurants
The fried cheese gooey, and the pearls go crispy like crispy rice – gorgeous|restaurants
Though, all three buns were greasy, all came with deep fried elements|restaurants
The steamed buns were a little dry during this visit, compared to other Baos, which I will chalk down as teething problems.|restaurants
I didn’t however fancy the cured pork jowl, like a “sweet” guanciale so to speak, served as carpaccio slices of cold fat swimming in chilli oil…not sure about it at all.|restaurants
I still find the size of buns too cute for the money, though it remains a good product, masterfully marketed (the new website is modern and gold standard stuff), slickly packaged, and rightly so are celebrated.|restaurants
Decor is nice, though does feel fake rustic, I personally like the original Soho design the most|restaurants
Wonder if lucky voice considers these guys real competition.|restaurants
It is always good to see Taiwanese food (albeit one that’s bastardised for London palates) being given the spotlight it currently enjoys in the zeitgeist.|restaurants
1392 Kingsway, Vancouver Tel:(604) 225-8349 Web: https://www.restaurantji.com/bc/vancouver/do-chay-/ Instagram @eatdochay Advice: Reservations suggested, walk-ins welcome|restaurants
With it’s focus on Modern Vietnamese Vegetarian fare this humbled eatery is offering up delicious eats on the edge of the Little Saigon neighborhood in East Vancouver….|restaurants
144 East Broadway, Vancouver Tel: (604) 423-3344 Web: https://www.billybuttondessertbar.com/menu Instagram @billybuttonvan Advice: No reservations|restaurants
It is all about exquisite and creative desserts at this Mount Pleasant hot spot run by Chef Cody|restaurants
Art on a plate is another way of…|restaurants
1641 Commercial Drive – unit #100 Tel: (604) 251-0677 Web: https://www.thebenchbakehouse.com/ Instagram @thebenchbakehouse Advice: Closed Monday|restaurants
Located in the Commercial Drive neighbourhood, this beautiful bakery café has an open kitchen for watching the bakers bake their delectable treats|restaurants
From breads…|restaurants
1161 W Georgia Street, Vancouver Tel: (604) 979-8886 Web: https://www.mott32.com/vancouver/ Instagram @mott32van Advice: Advance reservations suggested|restaurants
With it’s focus on Fine Dining Chinese cuisine, the dining room is stunning, with elegant booths, table seating and a couple private dining rooms….|restaurants
7688 Alderbridge Way, Richmond Tel: (604) 285-2654 Web: https://www.comvietnamese.com/ Instagram @comvietnamese Advice: Reservations suggested|restaurants
With it’s focus on Traditional Vietnamese fare using local ingredients and dishes designed for sharing|restaurants
You will find a beautifully designed room that is bright, high…|restaurants
4018 Cambie Street, Vancouver Tel: 604 428 2742 Web: http://sushitonton.com/ Instagram @tonton_sushi Advice: Reservations suggested|restaurants
With it’s focus on Japanese cuisine, owner/chef Jin offers a large selection of Japanese specialties, from sushi to hot pot to oshi sushi to udon…|restaurants
437 North Dollarton Hwy, Vancouver Tel: (604) 770-1237 Web: https://www.eatscratchkitchen.com/ Instagram @eatscratchkitchen Advice: reservations suggested As the name suggests, passionate owner Chefs Clay and Phil are making almost everything from scratch in their Deep Cove eatery|restaurants
Here it is about…|restaurants
325 E Broadway, Vancouver Tel: (604) 428-5805 Web: http://ajsbrooklynpizzajoint.com/ Twitter @Ajsbklynpizza Instagram @ajsbklynpizzajoint Advice: No reservations|restaurants
Specializing in Brooklyn style pizza, Aj’s is a popular Mount Pleasant neighborhood hangout for those that love pizza and beer|restaurants
Here you have New…|restaurants
1185 West Georgia Street Tel: (604) 620-5811 Web: https://www.instagram.com/bonus.bakery/ Instagram @bonus.bakery Advice: Counter service|restaurants
Specializing in plant-based baking this centrally located downtown bakery café has some tasty treats on offer|restaurants
They also have a full line-up of espresso-based beverages featuring…|restaurants
450 West 8th Avenue, Vancouver Tel: (604) 428-8588 Web: https://www.facebook.com/umasushibar/ Instagram @umasushi_bar Advice: Reservations suggested With it’s focus on Japanese cuisine, Owner/Chef Ping leads the kitchen sushi bar and kitchen in his homey restaurant|restaurants
You will want to sit at…|restaurants
2822 West 4th Avenue, Vancouver Tel: (604) 336-9996 Web: https://www.chewiesbiscuitco.com/ Instagram @chewiesbiscuits Advice: Counter service|restaurants
Specializing in comfort food by way of delicious house-made biscuits with all sorts of fillings|restaurants
These flaky buttery buttermilk baked biscuits are the real deal…|restaurants
UPDATED 8/1/19 BUSINESS HAS CLOSED 550 Main Street, Vancouver Tel: (604) 428-3389 Web: https://www.rhinofishnoodlebar.com Instagram @rhinofishnoodlebar Advice: Closed on Tuesdays|restaurants
Specializing in Taiwanese noodle soups, Chef/Owner David Wu set out to serve up traditional dishes from his home country|restaurants
He…|restaurants
1116 Robson Street, Vancouver Tel: 604-336-7999 Web: http://www.spicy6.com Twitter @Spicy6onrobson Instagram @spicy6eats Advice: Reservations suggested|restaurants
Specializing in traditional Northern Indian cuisine, this 2nd floor eatery boasts a great window view of bustling Robson Street|restaurants
Over a couple of visits I have…|restaurants
424 E Columbia St, New Westminster Tel: (604) 544-7997 Web: http://www.thainewwest.com/ Twitter: @thainewwest Instagram @thainewwest Advice: Reservations suggested|restaurants
Specializing in traditional Thai cuisine, this Sapperton neighborhood spot has a wonderful menu filled with classic flavourful dishes; owner Teg Brar opened…|restaurants
209 East 7th Avenue, Vancouver Tel: (604) 879-3100 Web: https://www.comotaperia.com/ Twitter: @COMOTaperia Instagram @comotaperia Advice: No reservations, between 4-5 tapas hour type of service, after 5pm dinner|restaurants
With it’s focus on Spanish tapas and drawing their inspiration from the tapas…|restaurants
1220 Bute Street, Vancouver Tel: (604) 559-5034 Web: n/a Instagram @theitalians_vancouver Advice: Reservations suggested|restaurants
With it’s authentic Italian cooking Chef Matteo Vincenzi creates wonderous dishes out of a very small kitchen; the restaurant boasts a beautiful room with a wonderful…|restaurants
1590 Commercial Drive, Vancouver Tel: (604) 258-0005 Web: https://uglydumpling.ca/ Instagram @uglydumpling.ca Advice: No reservations, go early or expect to wait in the line-up, open Thursday – Monday Chef Darren Gee and Van Doren Chan have worked their way up the…|restaurants
for the last time in February this year|restaurants
It was one of my favourite new openings in London, as it stood apart from the mass market IG-friendly model, here was a Chef interested in developing a cuisine and identity that was uniquely his own|restaurants
It was Portuguese, but modern, textured and charged with acidity in the way say Taiwanese cuisine is (however unintentional) and reaching his end goals with classic technique, but slowed all the way down, long ageing his proteins, fermenting and also slow cooking his vegetables through application of very low heat sometimes over weeks|restaurants
You guys are well versed with Japan and France, but the flavours that excited Leo were altogether less common in London|restaurants
During this time, I witnessed some incredible new combinations and layering of flavours which I’d not seen anywhere else before|restaurants
Though there were a few things that pushed the boundaries even for me, on the whole however, it was an experience visiting Leo, as there was always something different on the table|restaurants
I thought then that perhaps it was only time required for London to catch up with Leo’s creativity, but alas Leo decided to call time on it|restaurants
Location and size didn’t help as foot fall was nearly non-existent, and that was the dagger that closed Londrino’s doors 18 months later.|restaurants
Though as one door closes, another one has opened, behind it is Alex Hunter, one half of the Bonnie Gull ownership|restaurants
Sited at Pavillion road in the fringes of Chlesea…|restaurants
a little like Chelsea’s version of Spa Terminus|restaurants
There’s a Natoora and Bread Ahead, a butcher that carries Galician Blondes and Iberico and there’s this fish bar that seemingly fits right in the crowd.|restaurants
The Sea, The Sea – so named after the Irish Murdoch book – for all the jazzed up interiors is actually a rather modest proposition – a fish shop by the day, and a (mostly raw) seafood bar by night.|restaurants
Leo’s role here is as Executive Chef for the food menu (which is to say he’s not here everyday), though expectedly he brings with him some of his ex-staff from Londrino|restaurants
The major difference between then and now is that he and his kitchen team are now handicapped in terms of kit, as compared to the spaceship laboratory kitchen that was Londrino|restaurants
But such is the irony of life, sometimes less is more|restaurants
With only a couple of portable hobs to steam shellfish and a few blowtorches to aburi and to quick smoke fillets, it has channeled Leo’s creativity in a focused manner, resulting in some smart, simple but no less creative dishes.|restaurants
, working within confines to liberate his cuisine, with seafood being close to his heart, due in no small part to his coastal upbringing, and then latterly during his time cooking in the Basque.|restaurants
It is a joy to see Leo C back in the game, he has such deep knowledge, with his creative streak, it will be exciting to follow his continually developing cuisine|restaurants
As mentioned, there are no stoves here, it is very much like Leo’s sushi ya, you’ll see him shucking oysters, dishing up his crudos, showcasing his tsukemono (all pickled in house) and opening up fillets of fish which he dry ages over salt right here in the shop.|restaurants
There is something special about this place|restaurants
Maybe it’s because of the kitchen limits, perhaps it is that Alex himself is also committed to the site|restaurants
Like a pet project, it has great energy, the simplicity of their food menu exactly the right counterpoint and confines for Leo to apply his intervention|restaurants
Most of all at the sharp end of the business, it fits right in the neighborhood|restaurants
If you love the odd seafood binge with your bubbly, you might like it here, and also be pleasantly surprised encountering the occasional flavour pairing revelation in Leo’s various cold preps.|restaurants
They’ve only just opened (in late April) and I’ve visited twice already|restaurants
The first in late May during lunch time, where they do a short snacks menu with oysters, sashimi and a select few dishes|restaurants
Dinner has the longer ALC menu with a bit more cooked food, and puddings.|restaurants
The second time was on the first monday of June , when Leo and Alex ran their very first masterclass – on native lobster|restaurants
Led by Leo, giving commentary as he killed, cooked and prepared the dishes live and on the spot for an small group of 8 (strangers)|restaurants
It was intimate, priced well (£120pp all in, including booze and service), respectful of the mighty native lobster, now in peak season, and it was banging|restaurants
The first of many I’m sure, well worth your time going to one.|restaurants
For this masterclass, Leo started things with his tsukemono and some Jersey rock oysters, with the house pickled beet vinaigrette and crushed hazlenuts.|restaurants
A lobster “sandwich” made from sushi rice that sat on a squid ink spring roll dough, with lemon and orange zest, apricots dehydrated and rehydrated in kombu, toasted garlic scapes, a “pate” from coral tossed with lobster tail meat|restaurants
Blows my mind how Leo manages to create all these dishes, the layering of flavours, textures, non conventional but all grounded in extracting max umami.|restaurants
Whole lobster tied tail to rostum a la L’Arpege and then steamed la minute to a perfect mi-cuit|restaurants
After shelling the tail and claws, he cut the tail and claws up into large chunks|restaurants
The frontal tails were roughly chopped up – with traces of green from its coral – like a tartare and placed this at the bottom of each plate|restaurants
The rest of the tail and claws were returned to the pot for one final steam prior to plating up, with all the residual juices also poured into the plate.|restaurants
Served with steamed onions and an illuminating non-sabayon of yolks cooked at 66degC with dashi and just a touch of raw ginger|restaurants
Low intervention, exceptionally healthy lobsters, and a phenomenal sauce with the rich flavour of yolks, light texture and the subtle ginger just tempers everything, leaving a clean finish|restaurants
Superb.|restaurants
You know this, one of Leo’s genius dishes, and one of my all time favourites|restaurants
Cod, coriander oil, potato noodles, so simple but utterly amazing – salt, the acidity, the sweetness and the textures, a dish that has it all.|restaurants
A little crisp topped with fresh, sweet scallops, salt, and a savoury nutella (hazelnut, cocoa, coconut, rice vinegar, etc) made in the morning by Leo|restaurants
A simple but sensational exercise of layers and texture!|restaurants
An amazing dish of tuna belly, cherries, asparagus with a lightly smoked horseradish cream and a ‘water’ of pimento|restaurants
Gently tingling the front of the palate, cooling sweetness and then the fat of the belly, a revelation by Renato, Leo’s right hand man here.|restaurants
I really liked Viajante when it was around, this is going back nearly a decade now, then latterly Taberna, both pushed out some delicious things for us Londoners, though both are now shut and superseded by Nuno’s other projects (Chiltern holding fort, Maos gaining steam, while it remains to be seen if Viajante 2.0 will ever rise from the ashes)|restaurants
Like anything of notable quality, it is always about the people and Mendes had the pick of the crop come through his kitchens (and still does at Maos)|restaurants
A few have gone on to make a name for themselves, I think mainly of Leo Carreira, and at least one guy has gone back home to open arguably one of the most exciting restaurants in Lisbon – Prado.|restaurants
And then of course, there’s Ana Gonçalves and Zijun Meng, the his and hers of TaTa Eatery, who have thus far garnered a sterling reputation for themselves, migrating from one residency to other across town|restaurants
I must admit, I tend not to bother so much with pop-ups these days, as they are by definition fleeting and not set up for consistency with the myriad of limitations|restaurants
But I’ve heard only good things about the pair’s ever improving offering, and with their latest residency looking as good as bricks & mortar, I thought it time to finally give it a go.|restaurants
Authenticity was much like a badge of honour when I started writing this blog (now going on 11 years), but these days, I like that its pretty much the norm for modern cuisine freely cross pollinating in pursuit an end goal of flavour, rather than simply pulling a five star replication of a classic recipe|restaurants
What remains the same however is a respect for classic technique and if anything it requires mastery of fundamental craft before you start riffing off new ideas (David Chang was on to something all those years ago).|restaurants
We now have chefs in Japan successfully applying French technique on local terroir, meanwhile in Europe, dashis are quickly replacing butter in the kitchens of many practitioners of classic cuisine|restaurants
Sure, I too admire the 80s golden age of Nouvelle masters (and still do, the last bastions L’Ambroisie and L’Arpege are still apex), much like now, those pioneering French chefs in their heyday also sought to break new ground in with minimalist and natural flavours, in place of heavy butter and roux|restaurants
Gastronomy moves forward as it always does, with the changing tastes of a new generation.|restaurants
So this melange and melting pot of cuisine is very much what Zijun and Ana are about|restaurants
East meets West, a marriage both in life and of cuisines, Portuguese and Chinese, and also everything else in between that interests them in pursuit of Deliciousness, and to create something that they can call their own.|restaurants
This is how I came away with my first brush with Meng’s food; Uniquely his own, with a lot of care in product procurement, attention to detail, technique in cooking and above all delicious food.|restaurants
Specifically for produce, Meng is keenly focused on his protein – both land and sea – with his specialty being atypically long length of dry ageing|restaurants
For meats, carcasses are hung for over 6 months at source, meanwhile he dry ages noble fish from the South West on premises in a dry fridge with salt slabs.|restaurants
I should speak about the major part of this site, it is first and foremost a cocktail bar, open by Alex Kratena, formerly of Artesian Bar, or most widely known as the World’s best bar|restaurants
The design is lovely with unbroken, smooth Scandi lines and it is split across two spaces|restaurants
The Elementary bit more casual, and the Tayer bit, hidden away at the back, and I suppose it entertains the more informed cocktail enthusiasts|restaurants
I drank two cocktails – and I’m hardly a mixed drink kind of guy – and both were excellent.|restaurants
Meng’s chef’s counter (and kitchen) resides in between the two spaces, and they pump out the all-day bar menu (the sando, the solders, flatbreads), and also this taster menu at the Chef’s counter, only available by booking directly with Meng and Ana, do it through|restaurants
As for the food; it sure is banging|restaurants
At his Chef’s counter, he prepares the food by himself and all dishes are whipped up a la minute|restaurants
It’s rather an intimate dining experience, and Meng delivers food that’s family style, soulful, familiar and comforting|restaurants
So much so, it actually masks the fact that he’s applied considerable craft make his cuisine.|restaurants
From the bar food menu, we asked for one of his now famous pork sandwich, with the breaded Iberico pork collar brined until lusciously moist and tende|restaurants
It is supremely well made katsu, brightened with a joltingly fresh sweet/savoury jam, the TaTa version of a tart katsu sauce|restaurants
Undoubtedly delicious, as London has already attested to, though I did feel that the crusty brioche to be a jarring contrast|restaurants
I get why he’s gone for a crusty bread, as this is in fact Meng’s take on Bifana, born from a collab dinner with Prado Restaurante early last year|restaurants
Personally, I think milk bread is the choice bread for a fully melt-in-your-mouth sandwich|restaurants
All about the soft textures, though that is more fittingly  Japanese in spiritm than a Portuguese sando|restaurants
Saying that, I get the hype, it is legit.|restaurants
One of the best new meals I had in London this year no question, TaTa is so much more than a simple reflection of the couple’s heritage|restaurants
I’m so happy for London! Don’t miss it, if like me, you’ve not yet experienced TaTa eatery till now, right now, it is gorgeous.|restaurants
We paid £149 for all food and drink for two|restaurants
The taster menu was £55pp, but actual price varies based on produce on the day|restaurants
Taster menu requires you to|restaurants
Like all good food, it starts firstly with product – here the Southwest’s most noble flat fish treated well|restaurants
Hung on premises in a dry fridge for five weeks, the turbot’s natural umami intensified, becoming round, mellow, complex, its textured softened and tightened, with the loss of moisture and the protein fibres gently denaturing from dry aging|restaurants
I included a video of @ana_357 dicing the turbot – the fillets positive glisten in the light|restaurants
Beautiful fish.|restaurants
The pickled kolrahbi is gentle rather than sharp, smooth, soft flavours to match that of the fish, resulting in mercurial balance.|restaurants
2|restaurants
200+day aged Dexter sirloin tartare, popped barley, wild strawberries, egg yolk and a dashi of mushroom with sesame, coriander and chilli oil.|restaurants
Meng talked about his sourcing of long aged protein while he prepared this dish, when his supplier rings him up about potentials, he trials a fillet after a standard 3 week hang time to taste first prior to purchasing|restaurants
Once he’s made up his mind on quality, he buys the carcass whole, and they hang it whole, for the long haul|restaurants
In this case over the 6month mark.|restaurants
The beef has tremendous flavour persistence but importantly, it hasn’t lost too much moisture, which undoubtedly is down to careful dry ageing|restaurants
To balance, he’s composed an earthy broth to match the grassy funk, popped barley for texture and wild strabs to pull in freshness and acidity|restaurants
It comes together like clockwork on the palate – a dance of richness and lightness|restaurants
The Chef has an instinctual palate, creating a taste that is both familiar and new at the same time|restaurants
Top notch.|restaurants
You might wonder about the two tartare dishes to start the taster menu, and partly this is because their grill isn’t fully in operation yet at these early days|restaurants
Right now, Meng relies on a single portable induction hob for source of heat|restaurants
The show must go on of course, as with any good chef, he’s resourceful and adapted his craft to suit his tools at hand|restaurants
Which is to say, there is even more to come when his grill gets up to speed 🔥!|restaurants
3|restaurants
First – the fattier end, as a sort of bossam, wrapped in purple komatsuna grown at Namayasai, with some spicy red bean paste.|restaurants
4|restaurants
Second – the loin end, with seaweed caramel, onion, shiso and sage flower, coriander stems and it is finished with a umami bomb sauce of garum made from trimmings from the iberico pork that goes in their sandos.|restaurants
The cuisson is perfect – edge to edge pink|restaurants
We saw him slowly roasting to, in a covered dry saucepan on his portable induction hob at low heat, occasionally poking holes in the skin|restaurants
Then prior to carving, Chef placed it skin side down on a hot pan|restaurants
Juicy like a water balloon, bags of flavour, melting tender, and the fat disintegrates like cotton candy on the palate|restaurants
Seasoned with salt and a superb spice mix consisting of cumin, coriander seeds, sesame, dried seaweed amongst other things, which acted to foil and contrast the fat.|restaurants
And of course, you’re well acquainted with this one – TaTa Eatery’s take on bifana|restaurants
With breaded iberico collar and toasted brioche in place of milk bread.|restaurants
This firm city favourite was born from a collab with Prado Restaurante|restaurants
